,1,2,3,4,5,6,7,8,9,10,11,12
A,0.055,0.051,0.049,0.087,0.088,0.083,0.095,0.092,0.092,0.738,0.85,0.642
B,0.14,0.149,0.149,0.11,0.104,0.102,0.086,0.081,0.079,0.55,0.662,0.597
C,0.183,0.162,0.165,0.117,0.112,0.115,0.166,0.143,0.142,0.43,0.539,0.349
D,0.386,0.424,0.42,0.177,0.162,0.166,0.056,0.058,0.062,0.414,0.591,0.407
E,0.787,0.804,0.768,0.138,0.13,0.132,0.056,0.057,0.062,0.354,0.548,0.371
F,1.292,1.302,1.211,0.097,0.091,0.09,0.553,0.508,0.411,0.364,0.476,0.451
G,1.446,1.463,1.388,0.086,0.081,0.084,0.522,0.569,0.48,0.294,0.452,0.388
H,1.435,1.447,1.453,0.087,0.084,0.083,0.702,0.707,0.541,0.317,0.454,0.442
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,121,121,121,129,129,129,135,135,135
B,Std 1,Std 1,Std 1,122,122,122,130,130,130,136,136,136
C,Std 2,Std 2,Std 2,123,123,123,131,131,131,137,137,137
D,Std 3,Std 3,Std 3,124,124,124,132,132,132,138,138,138
E,Std 4,Std 4,Std 4,125,125,125,132_dup,132_dup,132_dup,139,139,139
F,Std 5,Std 5,Std 5,126,126,126,133,133,133,140,140,140
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,127,127,127,133_spk,133_spk,133_spk,141,141,141
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,128,128,128,134,134,134,142,142,142
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
