"","Site","Zone","min_H2S_mM","max_H2S_mM","mean_H2S_mM","sd_H2S_mM"
"1","SWH","UP",0,48.5297,6.09654782608696,10.5242181664429
"2","SWH","SWAMP",0,228.0973,15.1105577639752,24.828742283364
"3","SWH","TR",0,759.7757,85.721701863354,154.689988033053
"4","SWH","WC",0,1009.9359,21.5191473333333,86.2418820261722
"5","SWH","SW",0,0.0791,0.00155098039215686,0.0110762154646616
"6","GCW","UP",0,159.0468,4.84572461538461,27.1496413835031
"7","GCW","TR",0,169.7889,2.36785632911392,17.1116383209144
"8","GCW","WC",69.2309,9172.9764,2530.71183642857,1806.89233952058
"9","GCW","SW",0,0,0,0
"10","MSM","UP",0,153.8687,2.58490072992701,16.7407728179915
"11","MSM","TR",0,104.725,5.0486816993464,11.1086611841986
"12","MSM","WC",0,3236.5684,828.615656521739,882.368850250338
"13","MSM","SW",0,0.7968,0.0156235294117647,0.111574317095352
"14","GWI","UP",0,30.9131,0.927791612903226,3.4609871717259
"15","GWI","TR",0,562.7485,22.2080111702128,63.1570709423636
"16","GWI","WC",0,22.8852,0.800128787878788,2.5290278198383
"17","GWI","SW",0,0,0,0
"18",NA,"TR",2.0739,2.0739,2.0739,NA
