"","Project","Region","Site","Zone","Replicate","Depth_cm","Sample_ID","Year","Month","Day","Time","Time_Zone","ic_mgL","ic_uM","ic_flag","Analysis_runtime","Run_notes","Field_notes"
"1","COMPASS: Synoptic","CB","SWH","UP","A",10,"202405_SWH_UP_LysA_10cm",2024,5,15,"","",10.45,870.035800516193,"","5/28/2024 10:04:26 PM","Samples were put in the wrong vials, so 
  MSM_202405_UP_LysA_ was switched to MSM_202405_UP_LysB_, 
  MSM_202405_UP_LysB_ was switched to MSM_202405_UP_LysC_, 
  MSM_202405_UP_LysC_ was switched to MSM_202405_UP_LysA_.
  ",""
"2","COMPASS: Synoptic","CB","SWH","UP","A",20,"202405_SWH_UP_LysA_20cm",2024,5,15,"","",8.737,727.416534843061,"","5/28/2024 10:15:28 PM","Samples were put in the wrong vials, so 
  MSM_202405_UP_LysA_ was switched to MSM_202405_UP_LysB_, 
  MSM_202405_UP_LysB_ was switched to MSM_202405_UP_LysC_, 
  MSM_202405_UP_LysC_ was switched to MSM_202405_UP_LysA_.
  ",""
"3","COMPASS: Synoptic","CB","SWH","UP","A",45,"202405_SWH_UP_LysA_45cm",2024,5,15,"","",17.74,1476.97943551744,"","5/28/2024 10:27:09 PM","Samples were put in the wrong vials, so 
  MSM_202405_UP_LysA_ was switched to MSM_202405_UP_LysB_, 
  MSM_202405_UP_LysB_ was switched to MSM_202405_UP_LysC_, 
  MSM_202405_UP_LysC_ was switched to MSM_202405_UP_LysA_.
  ",""
"4","COMPASS: Synoptic","CB","SWH","UP","B",10,"202405_SWH_UP_LysB_10cm",2024,5,15,"","",11.27,938.306552327034,"","5/28/2024 10:38:17 PM","Samples were put in the wrong vials, so 
  MSM_202405_UP_LysA_ was switched to MSM_202405_UP_LysB_, 
  MSM_202405_UP_LysB_ was switched to MSM_202405_UP_LysC_, 
  MSM_202405_UP_LysC_ was switched to MSM_202405_UP_LysA_.
  ",""
"5","COMPASS: Synoptic","CB","SWH","UP","B",20,"202405_SWH_UP_LysB_20cm",2024,5,15,"","",26.53,2208.80859212389,"","5/28/2024 10:53:06 PM","Samples were put in the wrong vials, so 
  MSM_202405_UP_LysA_ was switched to MSM_202405_UP_LysB_, 
  MSM_202405_UP_LysB_ was switched to MSM_202405_UP_LysC_, 
  MSM_202405_UP_LysC_ was switched to MSM_202405_UP_LysA_.
  ",""
"6","COMPASS: Synoptic","CB","SWH","UP","C",10,"202405_SWH_UP_LysC_10cm",2024,5,15,"","",9.696,807.260011655982,"","5/28/2024 11:03:56 PM","Samples were put in the wrong vials, so 
  MSM_202405_UP_LysA_ was switched to MSM_202405_UP_LysB_, 
  MSM_202405_UP_LysB_ was switched to MSM_202405_UP_LysC_, 
  MSM_202405_UP_LysC_ was switched to MSM_202405_UP_LysA_.
  ",""
"7","COMPASS: Synoptic","CB","SWH","UP","C",20,"202405_SWH_UP_LysC_20cm",2024,5,15,"","",28.62,2382.81575222713,"","5/28/2024 11:15:44 PM","Samples were put in the wrong vials, so 
  MSM_202405_UP_LysA_ was switched to MSM_202405_UP_LysB_, 
  MSM_202405_UP_LysB_ was switched to MSM_202405_UP_LysC_, 
  MSM_202405_UP_LysC_ was switched to MSM_202405_UP_LysA_.
  ",""
"8","COMPASS: Synoptic","CB","SWH","UP","C",45,"202405_SWH_UP_LysC_45cm",2024,5,15,"","",39.26,3268.67038547998,"","5/28/2024 11:28:36 PM","Samples were put in the wrong vials, so 
  MSM_202405_UP_LysA_ was switched to MSM_202405_UP_LysB_, 
  MSM_202405_UP_LysB_ was switched to MSM_202405_UP_LysC_, 
  MSM_202405_UP_LysC_ was switched to MSM_202405_UP_LysA_.
  ",""
"9","COMPASS: Synoptic","CB","GWI","UP","A",20,"202405_GWI_UP_LysA_20cm",2024,5,16,"","",24.16,2011.48946798768,"","5/29/2024 5:45:14 AM","Samples were put in the wrong vials, so 
  MSM_202405_UP_LysA_ was switched to MSM_202405_UP_LysB_, 
  MSM_202405_UP_LysB_ was switched to MSM_202405_UP_LysC_, 
  MSM_202405_UP_LysC_ was switched to MSM_202405_UP_LysA_.
  ",""
"10","COMPASS: Synoptic","CB","GWI","UP","A",45,"202405_GWI_UP_LysA_45cm",2024,5,16,"","",16,1332.11223045542,"","5/29/2024 5:56:37 AM","Samples were put in the wrong vials, so 
  MSM_202405_UP_LysA_ was switched to MSM_202405_UP_LysB_, 
  MSM_202405_UP_LysB_ was switched to MSM_202405_UP_LysC_, 
  MSM_202405_UP_LysC_ was switched to MSM_202405_UP_LysA_.
  ",""
"11","COMPASS: Synoptic","CB","GWI","UP","B",10,"202405_GWI_UP_LysB_10cm",2024,5,16,"","",8.189,681.791690949963,"","5/29/2024 6:07:27 AM","Samples were put in the wrong vials, so 
  MSM_202405_UP_LysA_ was switched to MSM_202405_UP_LysB_, 
  MSM_202405_UP_LysB_ was switched to MSM_202405_UP_LysC_, 
  MSM_202405_UP_LysC_ was switched to MSM_202405_UP_LysA_.
  ",""
